areaCode,areaName,areaType,date,cumCasesByPublishDate
S12000045,East Dunbartonshire,utla,2021-08-24,8967
W06000023,Powys,utla,2021-08-24,6245
S12000013,Na h-Eileanan Siar,utla,2021-08-23,507
S12000029,South Lanarkshire,utla,2021-08-23,28408
S12000045,East Dunbartonshire,utla,2021-08-23,8781
W06000023,Powys,utla,2021-08-23,6198
S12000013,Na h-Eileanan Siar,utla,2021-08-22,501
S12000029,South Lanarkshire,utla,2021-08-22,28168
S12000045,East Dunbartonshire,utla,2021-08-22,8680
W06000023,Powys,utla,2021-08-22,6081
S12000013,Na h-Eileanan Siar,utla,2021-08-21,500
S12000029,South Lanarkshire,utla,2021-08-21,27949
S12000045,East Dunbartonshire,utla,2021-08-21,8566
W06000023,Powys,utla,2021-08-21,6030
S12000013,Na h-Eileanan Siar,utla,2021-08-20,497
S12000029,South Lanarkshire,utla,2021-08-20,27705
S12000045,East Dunbartonshire,utla,2021-08-20,8462
W06000023,Powys,utla,2021-08-20,6030
S12000013,Na h-Eileanan Siar,utla,2021-08-19,492
S12000029,South Lanarkshire,utla,2021-08-19,27413
S12000045,East Dunbartonshire,utla,2021-08-19,8378
W06000023,Powys,utla,2021-08-19,5956
S12000013,Na h-Eileanan Siar,utla,2021-08-18,485
S12000029,South Lanarkshire,utla,2021-08-18,27158
S12000045,East Dunbartonshire,utla,2021-08-18,8275
W06000023,Powys,utla,2021-08-18,5909
S12000013,Na h-Eileanan Siar,utla,2021-08-17,478
S12000029,South Lanarkshire,utla,2021-08-17,26957
S12000045,East Dunbartonshire,utla,2021-08-17,8210
W06000023,Powys,utla,2021-08-17,5865
S12000013,Na h-Eileanan Siar,utla,2021-08-16,473
S12000029,South Lanarkshire,utla,2021-08-16,26843
S12000045,East Dunbartonshire,utla,2021-08-16,8162
W06000023,Powys,utla,2021-08-16,5851
S12000013,Na h-Eileanan Siar,utla,2021-08-15,472
S12000029,South Lanarkshire,utla,2021-08-15,26700
S12000045,East Dunbartonshire,utla,2021-08-15,8128
W06000023,Powys,utla,2021-08-15,5714
S12000013,Na h-Eileanan Siar,utla,2021-08-14,465
S12000029,South Lanarkshire,utla,2021-08-14,26603
S12000045,East Dunbartonshire,utla,2021-08-14,8095
W06000023,Powys,utla,2021-08-14,5679
S12000013,Na h-Eileanan Siar,utla,2021-08-13,463
S12000029,South Lanarkshire,utla,2021-08-13,26504
S12000045,East Dunbartonshire,utla,2021-08-13,8054
W06000023,Powys,utla,2021-08-13,5679
S12000013,Na h-Eileanan Siar,utla,2021-08-12,454
S12000029,South Lanarkshire,utla,2021-08-12,26393
S12000045,East Dunbartonshire,utla,2021-08-12,8014
W06000023,Powys,utla,2021-08-12,5631
S12000013,Na h-Eileanan Siar,utla,2021-08-11,452
S12000029,South Lanarkshire,utla,2021-08-11,26284
S12000045,East Dunbartonshire,utla,2021-08-11,7985
W06000023,Powys,utla,2021-08-11,5578
S12000013,Na h-Eileanan Siar,utla,2021-08-10,451
S12000029,South Lanarkshire,utla,2021-08-10,26160
S12000045,East Dunbartonshire,utla,2021-08-10,7962
W06000023,Powys,utla,2021-08-10,5578
S12000013,Na h-Eileanan Siar,utla,2021-08-09,426
S12000029,South Lanarkshire,utla,2021-08-09,26056
S12000045,East Dunbartonshire,utla,2021-08-09,7943
W06000023,Powys,utla,2021-08-09,5552
S12000013,Na h-Eileanan Siar,utla,2021-08-08,424
S12000029,South Lanarkshire,utla,2021-08-08,25996
S12000045,East Dunbartonshire,utla,2021-08-08,7931
W06000023,Powys,utla,2021-08-08,5514
S12000013,Na h-Eileanan Siar,utla,2021-08-07,423
S12000029,South Lanarkshire,utla,2021-08-07,25893
S12000045,East Dunbartonshire,utla,2021-08-07,7916
W06000023,Powys,utla,2021-08-07,5486
S12000013,Na h-Eileanan Siar,utla,2021-08-06,420
S12000029,South Lanarkshire,utla,2021-08-06,25758
S12000045,East Dunbartonshire,utla,2021-08-06,7889
W06000023,Powys,utla,2021-08-06,5486
S12000013,Na h-Eileanan Siar,utla,2021-08-05,417
S12000029,South Lanarkshire,utla,2021-08-05,25683
S12000045,East Dunbartonshire,utla,2021-08-05,7868
W06000023,Powys,utla,2021-08-05,5443
S12000013,Na h-Eileanan Siar,utla,2021-08-04,415
S12000029,South Lanarkshire,utla,2021-08-04,25567
S12000045,East Dunbartonshire,utla,2021-08-04,7849
W06000023,Powys,utla,2021-08-04,5413
S12000013,Na h-Eileanan Siar,utla,2021-08-03,413
S12000029,South Lanarkshire,utla,2021-08-03,25454
S12000045,East Dunbartonshire,utla,2021-08-03,7832
W06000023,Powys,utla,2021-08-03,5394
S12000013,Na h-Eileanan Siar,utla,2021-08-02,409
S12000029,South Lanarkshire,utla,2021-08-02,25364
S12000045,East Dunbartonshire,utla,2021-08-02,7807
W06000023,Powys,utla,2021-08-02,5375
S12000013,Na h-Eileanan Siar,utla,2021-08-01,408
S12000029,South Lanarkshire,utla,2021-08-01,25299
S12000045,East Dunbartonshire,utla,2021-08-01,7790
W06000023,Powys,utla,2021-08-01,5312
S12000013,Na h-Eileanan Siar,utla,2021-07-31,395
S12000029,South Lanarkshire,utla,2021-07-31,25123
S12000045,East Dunbartonshire,utla,2021-07-31,7738
W06000023,Powys,utla,2021-07-31,5289
S12000013,Na h-Eileanan Siar,utla,2021-07-30,395
S12000029,South Lanarkshire,utla,2021-07-30,25123
S12000045,East Dunbartonshire,utla,2021-07-30,7738
W06000023,Powys,utla,2021-07-30,5289
S12000013,Na h-Eileanan Siar,utla,2021-07-29,395
S12000029,South Lanarkshire,utla,2021-07-29,24990
S12000045,East Dunbartonshire,utla,2021-07-29,7708
W06000023,Powys,utla,2021-07-29,5252
S12000013,Na h-Eileanan Siar,utla,2021-07-28,391
S12000029,South Lanarkshire,utla,2021-07-28,24878
S12000045,East Dunbartonshire,utla,2021-07-28,7691
W06000023,Powys,utla,2021-07-28,5223
S12000013,Na h-Eileanan Siar,utla,2021-07-27,409
S12000029,South Lanarkshire,utla,2021-07-27,24778
S12000045,East Dunbartonshire,utla,2021-07-27,7689
W06000023,Powys,utla,2021-07-27,5201
S12000013,Na h-Eileanan Siar,utla,2021-07-26,391
S12000029,South Lanarkshire,utla,2021-07-26,24708
S12000045,East Dunbartonshire,utla,2021-07-26,7671
W06000023,Powys,utla,2021-07-26,5164
S12000013,Na h-Eileanan Siar,utla,2021-07-25,387
S12000029,South Lanarkshire,utla,2021-07-25,24628
S12000045,East Dunbartonshire,utla,2021-07-25,7664
W06000023,Powys,utla,2021-07-25,5098
S12000013,Na h-Eileanan Siar,utla,2021-07-24,383
S12000029,South Lanarkshire,utla,2021-07-24,24560
S12000045,East Dunbartonshire,utla,2021-07-24,7646
W06000023,Powys,utla,2021-07-24,5037
S12000013,Na h-Eileanan Siar,utla,2021-07-23,370
S12000029,South Lanarkshire,utla,2021-07-23,24469
S12000045,East Dunbartonshire,utla,2021-07-23,7637
W06000023,Powys,utla,2021-07-23,5037
S12000013,Na h-Eileanan Siar,utla,2021-07-22,368
S12000029,South Lanarkshire,utla,2021-07-22,24363
S12000045,East Dunbartonshire,utla,2021-07-22,7609
W06000023,Powys,utla,2021-07-22,5009
S12000013,Na h-Eileanan Siar,utla,2021-07-21,362
S12000029,South Lanarkshire,utla,2021-07-21,24266
S12000045,East Dunbartonshire,utla,2021-07-21,7586
W06000023,Powys,utla,2021-07-21,4992
S12000013,Na h-Eileanan Siar,utla,2021-07-20,358
S12000029,South Lanarkshire,utla,2021-07-20,24199
S12000045,East Dunbartonshire,utla,2021-07-20,7548
W06000023,Powys,utla,2021-07-20,4959
S12000013,Na h-Eileanan Siar,utla,2021-07-19,348
S12000029,South Lanarkshire,utla,2021-07-19,24102
S12000045,East Dunbartonshire,utla,2021-07-19,7522
W06000023,Powys,utla,2021-07-19,4927
S12000013,Na h-Eileanan Siar,utla,2021-07-18,348
S12000029,South Lanarkshire,utla,2021-07-18,24013
S12000045,East Dunbartonshire,utla,2021-07-18,7480
W06000023,Powys,utla,2021-07-18,4838
S12000013,Na h-Eileanan Siar,utla,2021-07-17,345
S12000029,South Lanarkshire,utla,2021-07-17,23922
S12000045,East Dunbartonshire,utla,2021-07-17,7439
W06000023,Powys,utla,2021-07-17,4785
S12000013,Na h-Eileanan Siar,utla,2021-07-16,330
S12000029,South Lanarkshire,utla,2021-07-16,23796
S12000045,East Dunbartonshire,utla,2021-07-16,7403
W06000023,Powys,utla,2021-07-16,4785
S12000013,Na h-Eileanan Siar,utla,2021-07-15,330
S12000029,South Lanarkshire,utla,2021-07-15,23706
S12000045,East Dunbartonshire,utla,2021-07-15,7366
W06000023,Powys,utla,2021-07-15,4719
S12000013,Na h-Eileanan Siar,utla,2021-07-14,330
S12000029,South Lanarkshire,utla,2021-07-14,23586
S12000045,East Dunbartonshire,utla,2021-07-14,7317
W06000023,Powys,utla,2021-07-14,4684
S12000013,Na h-Eileanan Siar,utla,2021-07-13,330
S12000029,South Lanarkshire,utla,2021-07-13,23438
S12000045,East Dunbartonshire,utla,2021-07-13,7291
W06000023,Powys,utla,2021-07-13,4643
S12000013,Na h-Eileanan Siar,utla,2021-07-12,330
S12000029,South Lanarkshire,utla,2021-07-12,23306
S12000045,East Dunbartonshire,utla,2021-07-12,7249
W06000023,Powys,utla,2021-07-12,4596
S12000013,Na h-Eileanan Siar,utla,2021-07-11,325
S12000029,South Lanarkshire,utla,2021-07-11,23203
S12000045,East Dunbartonshire,utla,2021-07-11,7214
W06000023,Powys,utla,2021-07-11,4542
S12000013,Na h-Eileanan Siar,utla,2021-07-10,321
S12000029,South Lanarkshire,utla,2021-07-10,23124
S12000045,East Dunbartonshire,utla,2021-07-10,7169
W06000023,Powys,utla,2021-07-10,4496
S12000013,Na h-Eileanan Siar,utla,2021-07-09,321
S12000029,South Lanarkshire,utla,2021-07-09,23036
S12000045,East Dunbartonshire,utla,2021-07-09,7133
W06000023,Powys,utla,2021-07-09,4496
S12000013,Na h-Eileanan Siar,utla,2021-07-08,319
S12000029,South Lanarkshire,utla,2021-07-08,22889
S12000045,East Dunbartonshire,utla,2021-07-08,7079
W06000023,Powys,utla,2021-07-08,4465
S12000013,Na h-Eileanan Siar,utla,2021-07-07,318
S12000029,South Lanarkshire,utla,2021-07-07,22780
S12000045,East Dunbartonshire,utla,2021-07-07,7011
W06000023,Powys,utla,2021-07-07,4441
S12000013,Na h-Eileanan Siar,utla,2021-07-06,313
S12000029,South Lanarkshire,utla,2021-07-06,22626
S12000045,East Dunbartonshire,utla,2021-07-06,6935
W06000023,Powys,utla,2021-07-06,4426
S12000013,Na h-Eileanan Siar,utla,2021-07-05,313
S12000029,South Lanarkshire,utla,2021-07-05,22506
S12000045,East Dunbartonshire,utla,2021-07-05,6883
W06000023,Powys,utla,2021-07-05,4396
S12000013,Na h-Eileanan Siar,utla,2021-07-04,311
S12000029,South Lanarkshire,utla,2021-07-04,22383
S12000045,East Dunbartonshire,utla,2021-07-04,6829
W06000023,Powys,utla,2021-07-04,4352
S12000013,Na h-Eileanan Siar,utla,2021-07-03,310
S12000029,South Lanarkshire,utla,2021-07-03,22272
S12000045,East Dunbartonshire,utla,2021-07-03,6768
W06000023,Powys,utla,2021-07-03,4342
S12000013,Na h-Eileanan Siar,utla,2021-07-02,308
S12000029,South Lanarkshire,utla,2021-07-02,22142
S12000045,East Dunbartonshire,utla,2021-07-02,6700
W06000023,Powys,utla,2021-07-02,4342
