time_open,Type,price_high,price_low,volume_traded,trades_count
2021-10-08T12:00:02.3910000Z,ETH,40608.48,38812.71,489.743288,22961
2021-10-09T00:00:01.6858990Z,ETH,40660.96,38837.45,354.1623447,12890
2021-10-09T12:00:00.7621380Z,ETH,40745,39194.73,355.8028808,17233
2021-10-10T00:00:00.1757830Z,ETH,41188,39317.81,331.6187762,13706
2021-10-10T12:00:01.7167910Z,ETH,41484.64,39660.94,623.0940723,24571
2021-10-11T00:00:01.3453260Z,ETH,41805.55,39751.13,549.5165446,21000
2021-10-11T12:00:01.1898190Z,ETH,42504.05,40690.5,771.4041873,29934
2021-10-12T00:00:01.0341680Z,ETH,42454.41,41223.8,499.5611529,19828
2021-10-12T12:00:00.9926260Z,ETH,42224.84,39358.34,797.0760257,32169
2021-10-13T00:00:00.8059330Z,ETH,41625.08,39615.02,441.7202413,19858
2021-10-13T12:00:00.3893880Z,ETH,42254.8,39871.8,686.6733209,27228
2021-10-14T00:00:01.8486340Z,ETH,42846.07,41479.14,475.0106708,19291
2021-10-14T12:00:01.8074450Z,ETH,42428.01,40950,477.7076718,24618
2021-10-15T00:00:01.8150000Z,ETH,43835.1,41002.72,776.0413482,31258
2021-10-15T12:00:01.0005250Z,ETH,45801.7,42366.97,1253.897781,49837
2021-10-16T00:00:07.8810000Z,ETH,45331.08,43575.69,379.2922828,20088
2021-10-16T12:00:01.9721140Z,ETH,44784.5,42960,474.1560741,24004
2021-10-17T00:00:00.2184440Z,ETH,44686.9,43100,271.1273921,13389
2021-10-17T12:00:00.8350000Z,ETH,44850,42475.44,750.9413328,29911
2021-10-18T00:00:03.4880000Z,ETH,45584.35,43322.18,514.4606973,21651
2021-10-18T12:00:00.4015950Z,ETH,45448.32,42785.71,766.5889215,33412
2021-10-19T00:00:01.5207290Z,ETH,45761.26,44076.08,390.2701775,18530
2021-10-19T12:00:00.7474040Z,ETH,46753.46,43914.26,1168.990389,42894
2021-10-20T00:00:00.0010000Z,ETH,46661.5,45390.8,319.7278051,18584
2021-10-20T12:00:00.0685370Z,ETH,48542.7,45584.71,1427.625162,55887
2021-10-21T00:00:00.7932820Z,ETH,48359.51,45200,865.7915806,34692
2021-10-21T12:00:01.3818920Z,ETH,47512.43,43913.34,1182.833464,48171
2021-10-22T00:00:02.7440000Z,ETH,46208.6,43998.7,596.3125677,23924
2021-10-22T12:00:02.9923150Z,ETH,46235.6,42687.77,1032.573442,38543
2021-10-23T00:00:08.4210000Z,ETH,44845.74,42438.97,417.3082093,17473
2021-10-23T12:00:01.2026640Z,ETH,44890.25,43222.22,350.3551552,21173
2021-10-24T00:00:01.1868100Z,ETH,44729.44,42859.02,279.7820969,14060
2021-10-24T12:00:02.4650000Z,ETH,44672.79,42401.8,552.3057937,27752
2021-10-25T00:00:02.7880000Z,ETH,45900,43275.89,496.9412277,20434
2021-10-25T12:00:00.8041670Z,ETH,46314.1,44591.38,685.1034572,32414
2021-10-26T00:00:01.0820000Z,ETH,46000,44447.28,317.80621,16199
2021-10-26T12:00:00.2190190Z,ETH,45587.03,42949.33,717.7307029,35680
2021-10-27T00:00:00.8182140Z,ETH,45339.8,42065.18,1161.610434,42686
2021-10-27T12:00:00.5767620Z,ETH,43419.25,42112.7,858.4731989,38184
2021-10-28T00:00:02.0750000Z,ETH,44769.4,42091.01,718.9195754,27312
2021-10-28T12:00:00.8786670Z,ETH,45320.29,40820,1116.707666,41685
2021-10-29T00:00:00.2359620Z,ETH,44976.16,43507.71,627.3524105,26331
2021-10-29T12:00:00.4490680Z,ETH,46024.87,43798.27,808.6647412,36813
2021-10-30T00:00:00.3200000Z,ETH,45569.09,44052.84,303.9862817,16709
2021-10-30T12:00:04.4477520Z,ETH,45529,43986.08,463.7470701,27394
2021-10-31T00:00:00.1908700Z,ETH,45800,42684.48,437.1456991,20490
2021-10-31T12:00:00.1420000Z,ETH,45094.2,43600,562.8918996,28663
2021-11-01T00:00:01.2251820Z,ETH,45768.6,43397.32,676.2296429,25973
2021-11-01T12:00:00.8706820Z,ETH,45528.23,43937.02,622.1548527,34457
2021-11-02T00:00:01.5599860Z,ETH,46665.97,44170.89,592.3624637,24772
2021-11-02T12:00:00.0250850Z,ETH,47269.13,45559.26,917.5550841,38542
2021-11-03T00:00:00.9617150Z,ETH,46691.53,45588.64,384.1393865,21008
2021-11-03T12:00:00.2119230Z,ETH,46385.26,43625.7,1062.44232,37790
2021-11-04T00:00:02.3828350Z,ETH,46130,44538.96,386.1268034,17469
2021-11-04T12:00:00.8016610Z,ETH,46183.52,44200,762.2342988,31423
2021-11-05T00:00:01.5847130Z,ETH,46429.28,44368,295.9587246,17695
2021-11-05T12:00:01.6977170Z,ETH,46040.85,44300.82,489.5986772,26769
2021-11-06T00:00:01.8999290Z,ETH,45690.07,43935.89,288.6428888,14550
2021-11-06T12:00:00.5554740Z,ETH,45700,44001.15,338.7009769,21919
2021-11-07T00:00:00.2214830Z,ETH,46263.98,44867.15,234.4279887,13891
2021-11-07T12:00:01.1325270Z,ETH,46970,45038.47,368.0589251,24183
2021-11-08T00:00:00.9766300Z,ETH,49240.86,46213,799.5520667,31537
2021-11-08T12:00:00.0287820Z,ETH,49981.47,47000.94,598.3786254,34003
2021-11-09T00:00:01.9761700Z,ETH,50577.77,48659.24,617.2254635,28007
2021-11-09T12:00:01.6850630Z,ETH,50256.1,48018.69,572.1596732,32339
2021-11-10T00:00:01.3828710Z,ETH,49698.45,48116.1,295.146223,17684
2021-11-10T12:00:00.1900000Z,ETH,51045.31,46350.28,1540.883545,58192
2021-11-11T00:00:00.0330000Z,ETH,49043.43,47325.91,478.7430106,20485
2021-11-11T12:00:00.2820000Z,ETH,48919.43,47840.01,494.8374176,29886
2021-11-12T00:00:01.1290000Z,ETH,49011.81,47414.58,463.9138301,22407
2021-11-12T12:00:00.0225540Z,ETH,48237.1,46450.28,696.761145,33749
2021-11-13T00:00:00.2729790Z,ETH,48211.1,46919.65,161.0592478,11791
2021-11-13T12:00:02.4230150Z,ETH,48600,47265.38,296.2540226,21038
2021-11-14T00:00:00.1840630Z,ETH,48864.34,47711.59,244.976986,12877
2021-11-14T12:00:01.0963640Z,ETH,49040.41,47400,396.3572182,23977
2021-11-15T00:00:02.5920000Z,ETH,49559.68,48613.41,306.9347319,17384
2021-11-15T12:00:02.0339160Z,ETH,49149.97,47300,588.3906923,31232
2021-11-16T00:00:02.4826150Z,ETH,47462.65,43066.5,1389.9987,55782
2021-11-16T12:00:01.3309250Z,ETH,46057.5,44084.64,818.1461641,42906
2021-11-17T00:00:02.2021010Z,ETH,45412.52,43488.01,628.4178597,29224
2021-11-17T12:00:00.1600000Z,ETH,45342.49,44113.05,533.6667343,28715
2021-11-18T00:00:03.6455160Z,ETH,45306.7,43778.71,376.1205483,18962
2021-11-18T12:00:01.8998620Z,ETH,44579.59,41817.5,1202.094382,49107
2021-11-19T00:00:00.3270390Z,ETH,42879.76,41293.41,618.3952091,25600
2021-11-19T12:00:00.6205750Z,ETH,43496,42298.13,619.7820326,31616
